iter	Passed	Remaining
0	0	246
1	1	236
2	2	242
3	3	229
4	3	225
5	4	217
6	5	212
7	5	208
8	6	206
9	7	205
10	7	205
11	8	204
12	9	202
13	9	201
14	10	199
15	11	196
16	11	194
17	12	192
18	12	191
19	13	190
20	14	191
21	15	190
22	15	190
23	16	189
24	17	187
25	17	184
26	18	184
27	18	183
28	19	183
29	20	181
30	20	181
31	21	181
32	22	179
33	22	179
34	23	178
35	24	177
36	24	176
37	25	175
38	26	175
39	26	174
40	27	174
41	28	173
42	28	172
43	29	171
44	30	170
45	30	170
46	31	169
47	32	168
48	32	168
49	33	167
50	34	166
51	34	165
52	35	165
53	36	164
54	36	163
55	37	162
56	37	160
57	38	159
58	39	159
59	39	159
60	40	158
61	41	158
62	41	157
63	42	156
64	43	156
65	43	154
66	44	154
67	45	153
68	45	153
69	46	152
70	47	151
71	47	151
72	48	150
73	49	149
74	49	149
75	50	148
76	51	147
77	51	147
78	52	146
79	53	145
80	53	145
81	54	144
82	55	144
83	55	143
84	56	142
85	57	142
86	57	141
87	58	141
88	59	140
89	60	140
90	60	139
91	61	138
92	62	138
93	62	137
94	63	137
95	64	136
96	64	135
97	65	135
98	66	134
99	66	133
100	67	133
101	68	132
102	68	131
103	69	131
104	70	130
105	70	129
106	71	129
107	72	128
108	73	127
109	73	127
110	74	126
111	75	126
112	75	125
113	76	124
114	77	124
115	77	123
116	78	123
117	79	122
118	80	121
119	80	121
120	81	120
121	82	119
122	82	119
123	83	118
124	84	117
125	84	117
126	85	116
127	86	115
128	87	115
129	87	114
130	88	114
131	89	113
132	89	112
133	90	112
134	91	111
135	91	110
136	92	110
137	93	109
138	93	108
139	94	108
140	95	107
141	95	106
142	96	106
143	97	105
144	98	104
145	98	104
146	99	103
147	100	103
148	101	102
149	101	101
150	102	101
151	103	100
152	103	99
153	104	99
154	105	98
155	105	97
156	106	97
157	107	96
158	108	95
159	108	95
160	109	94
161	110	93
162	110	93
163	111	92
164	112	91
165	112	91
166	113	90
167	114	89
168	114	89
169	115	88
170	116	87
171	116	87
172	117	86
173	118	85
174	119	85
175	119	84
176	120	83
177	121	83
178	121	82
179	122	81
180	123	81
181	123	80
182	124	79
183	125	79
184	126	78
185	126	77
186	127	77
187	128	76
188	128	75
189	129	75
190	130	74
191	131	73
192	131	73
193	132	72
194	133	71
195	134	71
196	134	70
197	135	69
198	136	69
199	136	68
200	137	67
201	138	67
202	138	66
203	139	65
204	140	65
205	140	64
206	141	63
207	142	62
208	143	62
209	143	61
210	144	60
211	145	60
212	146	59
213	146	58
214	147	58
215	148	57
216	148	56
217	149	56
218	150	55
219	150	54
220	151	54
221	152	53
222	153	52
223	153	52
224	154	51
225	155	50
226	155	50
227	156	49
228	157	48
229	157	48
230	158	47
231	159	46
232	160	46
233	160	45
234	161	44
235	162	44
236	163	43
237	163	42
238	164	41
239	165	41
240	165	40
241	166	39
242	167	39
243	167	38
244	168	37
245	169	37
246	169	36
247	170	35
248	171	35
249	172	34
250	172	33
251	173	33
252	174	32
253	174	31
254	175	30
255	176	30
256	177	29
257	177	28
258	178	28
259	179	27
260	179	26
261	180	26
262	181	25
263	181	24
264	182	24
265	183	23
266	183	22
267	184	22
268	185	21
269	186	20
270	186	19
271	187	19
272	188	18
273	188	17
274	189	17
275	190	16
276	191	15
277	191	15
278	192	14
279	193	13
280	193	13
281	194	12
282	195	11
283	195	11
284	196	10
285	197	9
286	197	8
287	198	8
288	199	7
289	199	6
290	200	6
291	201	5
292	202	4
293	202	4
294	203	3
295	204	2
296	205	2
297	205	1
298	206	0
299	207	0
